,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
238,2033,24909,24909,Связной,Магазин «Промтовары»,Связной,да,реализация непродовольственных товаров,"город Москва, улица Земляной Вал, дом 33",Басманный район,Центральный административный округ,37.659048,55.757239,1907612.2426561983,6414155.64984656
239,2040,25110,25110,Яшма Золото,Магазин «Промтовары»,Яшма Золото,да,реализация непродовольственных товаров,"город Москва, Большой Спасоглинищевский переулок, дом 9/1, строение 16",Басманный район,Центральный административный округ,37.63693459718489,55.754455362368816,1906371.7601830172,6413392.044813529
240,2044,25234,25234,Связной,Магазин «Промтовары»,Связной,да,реализация непродовольственных товаров,"город Москва, Спартаковская улица, дом 24",Басманный район,Центральный административный округ,37.67653090005325,55.77244420994065,1908108.6108046344,6416161.0456458675
241,2045,25235,25235,Московский Ювелирный Завод,Магазин «Промтовары»,Московский Ювелирный Завод,да,реализация непродовольственных товаров,"город Москва, Спартаковская улица, дом 24",Басманный район,Центральный административный округ,37.67653090005325,55.77244420994065,1908108.6108046344,6416161.0456458675
242,2046,25237,25237,Ile de Beaute,Магазин «Промтовары»,Ile de Beaute,да,реализация непродовольственных товаров,"город Москва, Спартаковская улица, дом 24",Басманный район,Центральный административный округ,37.67653090005325,55.77244420994065,1908108.6108046344,6416161.0456458675
243,2047,25242,25242,L'Occitane,Магазин «Промтовары»,L'Occitane,да,реализация непродовольственных товаров,"город Москва, Спартаковская улица, дом 24",Басманный район,Центральный административный округ,37.67653090005325,55.77244420994065,1908108.6108046344,6416161.0456458675
244,2049,25256,25256,Wolford,Магазин «Промтовары»,Wolford,да,реализация непродовольственных товаров,"город Москва, Трубная площадь, дом 2",Мещанский район,Центральный административный округ,37.6223441587516,55.7666618915092,1905031.63981997,6414402.053139633
245,2050,25257,25257,Estel Adoni,Магазин «Промтовары»,Estel Adoni,да,реализация непродовольственных товаров,"город Москва, Трубная площадь, дом 2",Мещанский район,Центральный административный округ,37.62172861797592,55.766414339390785,1905003.4308705155,6414362.484896933
246,2051,25260,25260,М.видео,Магазин «Промтовары»,М.видео,да,реализация непродовольственных товаров,"город Москва, Трубная площадь, дом 2",Мещанский район,Центральный административный округ,37.62172861797592,55.766414339390785,1905003.4308705155,6414362.484896933
247,2059,25270,25270,Императорский фарфор,Магазин «Промтовары»,Императорсктй фарфор,да,реализация непродовольственных товаров,"город Москва, Трубная площадь, дом 2",Мещанский район,Центральный административный округ,37.62172861797592,55.766414339390785,1905003.4308705155,6414362.484896933
248,2064,25344,25344,YVES ROCHER,Магазин «Промтовары»,Yves Rocher,да,реализация непродовольственных товаров,"город Москва, Верхняя Красносельская улица, дом 3А",Красносельский район,Центральный административный округ,37.66536554378235,55.78577215235765,1906934.3958176002,6417363.034386355
249,2066,25348,25348,Stradivarius,Магазин «Промтовары»,Stradivarius,да,реализация непродовольственных товаров,"город Москва, Верхняя Красносельская улица, дом 3А",Красносельский район,Центральный административный округ,37.66536554378235,55.78577215235765,1906934.3958176002,6417363.034386355
250,2067,25377,25377,OYSHO,Магазин «Промтовары»,OYSHO,да,реализация непродовольственных товаров,"город Москва, Верхняя Красносельская улица, дом 3А",Красносельский район,Центральный административный округ,37.66536554378235,55.78577215235765,1906934.3958176002,6417363.034386355
251,2068,25387,25387,Л'Этуаль,Магазин «Промтовары»,Л'Этуаль,да,реализация непродовольственных товаров,"город Москва, Верхняя Красносельская улица, дом 3А",Красносельский район,Центральный административный округ,37.66536554378235,55.78577215235765,1906934.3958176002,6417363.034386355
252,2074,25745,25745,Williams oliver,Магазин «Промтовары»,williams oliver,да,реализация непродовольственных товаров,"город Москва, поселение Московский, деревня Лапшинка, владение 8, корпус 1",поселение Московский,Новомосковский административный округ,37.329508788295286,55.60621999926985,1893103.5378160938,6391000.944719013
253,2075,25749,25749,Samsonite,Магазин «Промтовары»,Samsonite,да,реализация непродовольственных товаров,"город Москва, поселение Московский, деревня Лапшинка, владение 8, корпус 1",поселение Московский,Новомосковский административный округ,37.329508788295286,55.60621999926985,1893103.5378160938,6391000.944719013
254,2095,26662,26662,Samsonite,Магазин «Промтовары»,Samsonite,да,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 86А",район Тропарёво-Никулино,Западный административный округ,37.481462534343905,55.66346893762687,1900274.9304819645,6400333.64739189
255,2097,26891,26891,Иголочка,Магазин «Промтовары»,Иголочка,да,реализация непродовольственных товаров,"город Москва, Хорошёвское шоссе, дом 27",Хорошёвский район,Северный административный округ,37.525035840044175,55.77760860384197,1898713.2967510016,6413549.522055125
256,2099,26979,26979,МТС,Магазин «Промтовары»,МТС,да,реализация непродовольственных товаров,"город Москва, улица Сретенка, дом 27, строение 1",Мещанский район,Центральный административный округ,37.63211179516557,55.77131093188946,1905452.4071321543,6415107.653595411
257,2105,27378,27378,Смешные цены,Магазин «Промтовары»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, улица Менжинского, дом 38, корпус 1, строение 2",Бабушкинский район,Северо-Восточный административный округ,37.6623144318267,55.87076004677578,1903585.3117996585,6426456.573556758
