,Name,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
163,"«15-й таксомоторный парк», улица Дыбенко (206)",район Ховрино,Северный административный округ,55.86851809,37.48465472,1892902.9882526826,6405664.820354356
164,"«19-й квартал», улица Дыбенко (207)",район Ховрино,Северный административный округ,55.87602353,37.48251534,1892496.0968143523,6405847.262471367
165,"«Интернат», Смольная улица (208)",район Левобережный,Северный административный округ,55.87346894,37.46855178,1891744.1450945358,6405592.59573926
166,"«11-й автобусный парк - Киностудия», Смольная улица (209)",район Левобережный,Северный административный округ,55.87122038,37.47087508,1891967.9645303367,6405690.26149385
167,"«Смольная ул., 61», Смольная улица (210)",район Левобережный,Северный административный округ,55.86924721,37.47291097,1892164.2105682127,6405899.544576186
168,"«Метро Беломорская», Смольная улица (211)",район Левобережный,Северный административный округ,55.86632944,37.47593628,1892455.3219644548,6405869.110111021
169,"«Смольная ул.», Фестивальная улица (212)",район Левобережный,Северный административный округ,55.85832994,37.48635788,1893382.5583268674,6405875.625899614
170,"«Фестивальная ул., 14», Фестивальная улица (213)",район Ховрино,Северный административный округ,55.86018085,37.49617308,1893909.2672179958,6416068.168381874
171,"«Фестивальная ул., 65», Фестивальная улица (214)",район Ховрино,Северный административный округ,55.8609953,37.50113583,1894180.0375237626,6416035.482539437
172,"«Фестивальная ул.», Фестивальная улица (216)",район Ховрино,Северный административный округ,55.86189364,37.50360878,1894296.749753166,6416005.401131362
173,"«Фестивальная ул., 14», Фестивальная улица (217)",район Ховрино,Северный административный округ,55.86023665,37.49502105,1893837.361001193,6416190.501857048
174,"«Метро Беломорская», Смольная улица (218)",район Левобережный,Северный административный округ,55.86691808,37.47572273,1892420.6431243161,6416061.551017155
175,"«Смольная ул., 61», Смольная улица (219)",район Левобережный,Северный административный округ,55.87006376,37.47250317,1892109.3468916416,6416093.5897585135
176,"«11-й автобусный парк - Киностудия», Смольная улица (220)",район Левобережный,Северный административный округ,55.87205598,37.47042618,1891909.9099892774,6397758.435774552
177,"«19-й квартал», улица Дыбенко (221)",район Ховрино,Северный административный округ,55.8751448,37.48222667,1892511.0590281177,6415339.9336619135
178,"«Фестивальная ул.», Фестивальная улица (222)",Головинский район,Северный административный округ,55.86280819,37.50674921,1894453.3166590347,6395141.887474074
179,"«Зеленоградская ул., 21», Зеленоградская улица (225)",район Ховрино,Северный административный округ,55.87385147,37.49737477,1893476.8775157141,6395194.830454228
180,"«Почта», Зеленоградская улица (226)",район Ховрино,Северный административный округ,55.8755477,37.49362797,1893187.1234593317,6402501.57785932
181,"«Зеленоградская ул., 39», Зеленоградская улица (227)",район Ховрино,Северный административный округ,55.87735502,37.48921877,1892853.1419806597,6402492.847881083
182,"«Зеленоградская ул., 39», Зеленоградская улица (228)",район Ховрино,Северный административный округ,55.87686159,37.48987729,1892911.2794298595,6414545.507710314
183,"«Почта», Зеленоградская улица (229)",район Ховрино,Северный административный округ,55.87495346,37.49462501,1893269.5063524994,6414581.119345489
184,"«Зеленоградская ул., 21», Зеленоградская улица (230)",район Ховрино,Северный административный округ,55.87297274,37.49835973,1893569.0493216119,6414573.469920329
