,ObjectName,NameSummer,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
282,Фитнес клуб «Палестра Спорт»,зал тренажерный,"2-я Песчаная улица, дом 4А, корпус 1",район Сокол,Северный административный округ,37.51671044457241,55.79406618404117,1897599.0974896252,6415150.375170426
283,Физкультурно-оздоровительный комплекс «Центр олимпийской подготовки» Москомспорта,зал тренажерный,"Западная улица, дом 16Б, строение 5",район Восточный,Восточный административный округ,37.87963840155842,55.815702600297286,1918815.932911032,6425101.71665032
284,Спортивно-досуговый центр «Варшавский»,зал тренажерный,"Симферопольский проезд, дом 7",Нагорный район,Южный административный округ,37.615479,55.66501,1908386.478824181,6403300.73080689
285,Автономная некоммерческая организация «Спортивный клуб «ГРИФ»,зал тренажерный,"Бескудниковский бульвар, дом 57, корпус 1",Бескудниковский район,Северный административный округ,37.538471872693634,55.87242574626742,1896020.137929862,6424050.316219113
286,Муниципальное бюджетное образовательное учреждение дополнительного образования детей городского округа Щербинка в городе Москве Детско-юношеская спортивная школа,зал тренажерный,"город Щербинка, Новостроевская улица, дом 1",поселение Щербинка,Новомосковский административный округ,37.55941756336454,55.505645443947735,1910860.838821198,6384939.893731266
287,Спортивный комплекс «Подолье»,зал тренажерный,"посёлок Ерино, дом 2",поселение Рязановское,Новомосковский административный округ,37.5226499686564,55.449398650431355,1910683.2710583545,6378101.470019404
288,Городской спортивно-оздоровительный центр «Гармония»,зал тренажерный,"Сиреневый бульвар, дом 15, корпус 1",поселение Троицк,Троицкий административный округ,37.29570812413394,55.47146021104969,1895957.0569234148,6375754.691774554
289,Досуговый центр «Родина»,зал тренажерный,"улица Свободы, дом 55",район Южное Тушино,Северо-Западный административный округ,37.451943595614445,55.849953247886106,1891604.737157975,6419829.573613271
290,Центр культуры досуга и спорта «Истоки»,зал тренажерный,"Ташкентская улица, дом 34, корпус 3",район Выхино-Жулебино,Юго-Восточный административный округ,37.80216461199768,55.69615660535241,1918594.0108332015,6410587.025643655
291,Государственное бюджетное учреждение Спортивно-досуговый центр «Люблино»,зал тренажерный,"Ставропольский проезд, дом 17",район Люблино,Юго-Восточный административный округ,37.80072949661468,55.67881403336925,1919155.5310251245,6408688.214310837
292,Спортивный комплекс образовательного учреждения,зал тренажерный,"Новокосинская улица, дом 13А",район Новокосино,Восточный административный округ,37.853045663873,55.735402303494,1920217.5756742202,6415890.910446754
293,Досуговый центр «Стимул» на Серебряническом переулке,зал тренажерный,"Серебрянический переулок, дом 7, строение 1",Таганский район,Центральный административный округ,37.647921822882495,55.75048538031913,1907187.145197762,6413194.469606117
294,Спортивный комплекс образовательного учреждения,зал тренажерный,"Дубининская улица, дом 25, строение 1",район Замоскворечье,Центральный административный округ,37.637831326389104,55.72655815046237,1907462.752238165,6410404.029499691
295,Спортивный комплекс образовательного учреждения,зал тренажерный,"улица 2-я Пятилетка, дом 18А",район Крюково,Зеленоградский административный округ,37.1697628527,55.979414386396,1869767.6761672758,6427982.574706024
296,Спортивный комплекс образовательного учреждения,зал тренажерный,"город Зеленоград, корпус 524",район Савёлки,Зеленоградский административный округ,37.246019,55.993601,1873860.6937687036,6431073.326874218
297,Спортивный комплекс образовательного учреждения,зал тренажерный,"Волгоградский проспект, дом 157, корпус 3",район Кузьминки,Юго-Восточный административный округ,37.785759855155774,55.705152593061484,1917259.39717403,6411209.701253397
298,Спортивный комплекс образовательного учреждения,зал тренажерный,"Челябинская улица, дом 9",район Ивановское,Восточный административный округ,37.823688253967,55.777713561831,1916847.68925833,6419827.357784164
299,Спортивный комплекс образовательного учреждения,зал тренажерный,"15-я Парковая улица, дом 40А",район Северное Измайлово,Восточный административный округ,37.822206855156,55.805799383296,1915704.9036571512,6422821.053729642
300,Спортивный комплекс образовательного учреждения,зал тренажерный,"улица Пресненский Вал, дом 15, строение 1",Пресненский район,Центральный административный округ,37.566534830688,55.770540601439,1901496.5437778994,6413653.232117017
301,Спортивный комплекс образовательного учреждения,зал тренажерный,"бульвар Дмитрия Донского, дом 14Г",район Северное Бутово,Юго-Западный административный округ,37.569758492686,55.564939062912,1909302.1211751373,6391551.945201026
302,Спортивный комплекс образовательного учреждения,зал тренажерный,"улица Генерала Глаголева, дом 10, корпус 2",район Хорошёво-Мнёвники,Северо-Западный административный округ,37.464776204258,55.781325696489,1894914.363870062,6412696.3413817445
303,Спортивный комплекс образовательного учреждения,зал тренажерный,"улица Рудневой, дом 10",Бабушкинский район,Северо-Восточный административный округ,37.677175519877,55.866565704366,1904641.8387250118,6426315.979092863
304,Досуговый центр «Спутник»,зал тренажерный,"Ленинский проспект, дом 135, корпус 2",район Тёплый Стан,Юго-Западный административный округ,37.47708369625019,55.64195727419761,1900800.638781197,6397922.215707079
305,Фитнес клуб «Фэмили фитнес»,зал тренажерный,"Дубнинская улица, дом 6, корпус 1",район Восточное Дегунино,Северный административный округ,37.57034950258836,55.85940541300617,1898434.5910908827,6423311.246029959
306,Спортивный комплекс образовательного учреждения,зал тренажерный,"Хибинский проезд, дом 10",Ярославский район,Северо-Восточный административный округ,37.680087091418,55.856266362592,1905202.0680660196,6425267.381653859
307,Спортивный зал,зал тренажерный,"Саратовская улица, дом 3, корпус 1",район Текстильщики,Юго-Восточный административный округ,37.73096056887328,55.71305782468165,1913630.4415044049,6410905.922519376
308,Фитнес клуб «Ворлд Класс»,зал тренажерный,"улица Кулакова, дом 20, строение 2",район Строгино,Северо-Западный административный округ,37.390428,55.803505,1889580.7888040352,6413546.15803498
309,Физкультурно-оздоровительный комплекс «Динамика»,зал тренажерный,"1-й Пехотный переулок, домовладение 8",район Щукино,Северо-Западный административный округ,37.47997962674222,55.80535264500625,1894951.5564444866,6415603.001929553
310,Фитнес клуб «Манхеттен»,зал тренажерный №2,"Новодмитровская улица, дом 5А, строение 2",Бутырский район,Северо-Восточный административный округ,37.588395,55.807132,1901467.8244683547,6418053.974769498
311,Физкультурно-оздоровительный комплекс «Гранат»,зал тренажерный,"Тайнинская улица, дом 20",Лосиноостровский район,Северо-Восточный административный округ,37.685696944429175,55.88241673993773,1904567.0981589274,6428202.2283688085
312,Спортивный комплекс высшего учебного заведения,зал тренажерный,"Ленинградский проспект, дом 80, корпус 1",район Сокол,Северный административный округ,37.5073832781757,55.81033281463628,1896431.4972680216,6416709.885597971
313,Фитнес клуб «Зупре»,зал тренажерный,"Вятская улица, дом 27, строение 12",Савёловский район,Северный административный округ,37.577957856127284,55.79640131912791,1901232.099404503,6416679.375412998
