,ParkingName,CarCapacity,Address,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
6579,Парковка №4042 (85),10,"город Москва, Сиреневый бульвар, дом 14, корпус 1",район Измайлово,Восточный административный округ,55.802392075875,37.7850487961532,1913578.3965465801,6421670.093298838
6580,Парковка №4042 (86),4,"город Москва, 5-я Парковая улица, дом 52",район Измайлово,Восточный административный округ,55.8024327842549,37.7896272896246,1913854.6486258605,6421771.006507286
6581,Парковка №4042 (87),8,"город Москва, 7-я Парковая улица, дом 27",район Измайлово,Восточный административный округ,55.802477987063,37.7923014949162,1914015.1975124294,6421832.264990925
6582,Парковка №4042 (88),3,"город Москва, 7-я Парковая улица, дом 30/24",район Измайлово,Восточный административный округ,55.802539821517,37.7957534871215,1914222.3085562352,6421911.72575735
6583,Парковка №4042 (89),12,"город Москва, 9-я Парковая улица, дом 43/26",район Измайлово,Восточный административный округ,55.8025519334252,37.7965152377816,1914268.0687223838,6421929.0967486445
6584,Парковка №4042 (90),10,"город Москва, Сиреневый бульвар, дом 32",район Измайлово,Восточный административный округ,55.8026166715395,37.8039677448685,1914717.764605781,6422093.283004117
6585,Парковка №4044 (97),10,"город Москва, 2-я Владимирская улица, дом 22",район Перово,Восточный административный округ,55.756439395528,37.7814304159011,1915078.0968576951,6416643.682401718
6586,Парковка №4044 (98),21,"город Москва, 2-я Владимирская улица, дом 25",район Перово,Восточный административный округ,55.7561020662683,37.7817526598222,1915110.2909256818,6416614.139638735
6587,Парковка №4044 (99),9,"город Москва, 2-я Владимирская улица, дом 24А",район Перово,Восточный административный округ,55.7557480343805,37.7818528810925,1915129.622083206,6416578.114359672
6588,Парковка №4044 (100),21,"город Москва, 2-я Владимирская улица, дом 33",район Перово,Восточный административный округ,55.7536542337387,37.7832278706137,1915291.4768366874,6416381.557396991
6589,Парковка №4044 (101),19,"город Москва, 2-я Владимирская улица, дом 28, корпус 1",район Перово,Восточный административный округ,55.7537603173864,37.7830451313348,1915276.4064754213,6416389.130626561
6590,Парковка №4044 (102),3,"город Москва, 2-я Владимирская улица, дом 30, корпус 1",район Перово,Восточный административный округ,55.7532763157563,37.7833366641428,1915312.223282021,6416343.139924902
6591,Парковка №4044 (103),7,"город Москва, 2-я Владимирская улица, дом 37, корпус 1",район Перово,Восточный административный округ,55.7528284908127,37.7837213717625,1915352.3480513927,6416303.012269939
6592,Парковка №4044 (104),6,"город Москва, 2-я Владимирская улица, дом 30, корпус 1",район Перово,Восточный административный округ,55.7528378761502,37.7836076181456,1915345.0858466378,6416301.623536608
6593,Парковка №4044 (105),4,"город Москва, 2-я Владимирская улица, дом 39",район Перово,Восточный административный округ,55.7523738427196,37.7839883835481,1915385.5778335975,6416259.666744185
6594,Парковка №4044 (106),20,"город Москва, 2-я Владимирская улица, дом 32, корпус 1",район Перово,Восточный административный округ,55.7521999473478,37.783976903438,1915391.3853891958,6416240.691034408
6595,Парковка №4044 (107),6,"город Москва, 2-я Владимирская улица, дом 36",район Перово,Восточный административный округ,55.7515888108179,37.7843358620074,1915436.0558943227,6416182.427148524
6596,Парковка №4046 (40),1,"город Москва, 2-я Владимирская улица, дом 45",район Новогиреево,Восточный административный округ,55.750017033802,37.7853797054353,1915558.276421943,6416035.124967104
6597,Парковка №4046 (41),1,"город Москва, 2-я Владимирская улица, дом 45",район Новогиреево,Восточный административный округ,55.749646391281,37.7856089742387,1915586.0723422521,6416000.033514566
6598,Парковка №4044 (108),7,"город Москва, 2-я Владимирская улица, дом 44/10",район Перово,Восточный административный округ,55.7493132916764,37.7856995976302,1915604.0398102773,6415966.061207131
6599,Парковка №4046 (42),4,"город Москва, 2-я Владимирская улица, дом 45",район Новогиреево,Восточный административный округ,55.749394561266,37.7857501214349,1915604.069400808,6415975.882319403
6600,Парковка №4044 (109),4,"город Москва, 2-я Владимирская улица, дом 46, корпус 1",район Перово,Восточный административный округ,55.7483275148495,37.7862951370779,1915677.1036623805,6415872.430553617
6601,Парковка №4022 (143),19,"город Москва, улица Академика Королёва, дом 21",Останкинский район,Северо-Восточный административный округ,55.8203253350136,37.6031286529145,1901872.3950647486,6419783.771895829
6602,Парковка №4022 (144),9,"город Москва, улица Дубовой Рощи, дом 25, корпус 1, строение 2",Останкинский район,Северо-Восточный административный округ,55.8189953121953,37.6035108923678,1901944.9618839398,6419648.419816378
6603,Парковка №4022 (145),13,"город Москва, улица Дубовой Рощи, дом 25, корпус 2, строение 2",Останкинский район,Северо-Восточный административный округ,55.8183797831234,37.6036208864958,1901974.486240887,6419584.381091171
6604,Парковка №4027 (147),9,"город Москва, улица Ибрагимова, дом 32",район Соколиная Гора,Восточный административный округ,55.788723333338,37.729958300102,1910746.0162687376,6419037.587323282
6605,Парковка №4027 (148),2,"город Москва, улица Ибрагимова, дом 30",район Соколиная Гора,Восточный административный округ,55.7882143608376,37.7300166364671,1910768.5566284636,6418983.9786752695
6606,Парковка №4027 (149),2,"город Москва, улица Ибрагимова, дом 30",район Соколиная Гора,Восточный административный округ,55.7878339639562,37.730061625469,1910785.4872412325,6418943.941733245
