,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
326,2200,47730,47730,Магазин чая и кофе «Кантата»,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, Варшавское шоссе, дом 160",район Чертаново Южное,Южный административный округ,37.595139,55.58297170756217,1910185.6405114047,6394028.682426255
327,2231,48806,48806,5lb,Прочие специализированные продовольственные предприятия торговли,5lb,да,реализация продовольственных товаров,"город Москва, Головинское шоссе, дом 5, корпус 1",Головинский район,Северный административный округ,37.49084500000001,55.840003781892406,1894331.6063926485,6419564.671698477
328,2247,49112,49112,Бристоль,Прочие специализированные продовольственные предприятия торговли,Бристоль,да,реализация продовольственных товаров,"город Москва, проспект Будённого, дом 51, корпус 4",район Соколиная Гора,Восточный административный округ,37.73842563558327,55.7597824822411,1912340.5966861504,6416097.663011764
329,2266,49904,49904,Мясницкий ряд,Прочие специализированные продовольственные предприятия торговли,Мясницкий ряд,да,реализация продовольственных товаров,"город Москва, Каргопольская улица, дом 18, строение 1",район Отрадное,Северо-Восточный административный округ,37.594530331663286,55.865176954087076,1899685.9798293584,6424437.782616491
330,2281,50149,50149,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, Покровская улица, дом 23",район Некрасовка,Юго-Восточный административный округ,37.928022,55.70242774189556,1926014.6945598647,6413929.872291093
331,2282,50153,50153,Ароматный Мир,Прочие специализированные продовольственные предприятия торговли,Ароматный Мир,да,реализация продовольственных товаров,"город Москва, улица Лётчика Бабушкина, дом 23",Бабушкинский район,Северо-Восточный административный округ,37.67475,55.867159789844905,1904472.7603986145,6426329.160247624
332,2295,50375,50375,Куриный дом,Прочие специализированные продовольственные предприятия торговли,Куриный Дом,да,реализация продовольственных товаров,"город Москва, город Зеленоград, корпус 1812",район Крюково,Зеленоградский административный округ,37.162628999999995,55.981792000000006,1869249.5695027416,6428093.358285975
333,2296,50379,50379,ЧАЙБУРГ,Прочие специализированные продовольственные предприятия торговли,Чайбург,да,реализация продовольственных товаров,"город Москва, поселение Московский, Киевское шоссе, 23-й километр, дом 1, строение 1",поселение Московский,Новомосковский административный округ,37.391653999999996,55.61816271763832,1896461.5919458664,6393578.277770302
334,2298,50705,50705,Красная икра,Прочие специализированные продовольственные предприятия торговли,Красная икра,да,реализация продовольственных товаров,"город Москва, Таганская улица, дом 2",Таганский район,Центральный административный округ,37.65765500000001,55.74080275300312,1908138.8632075298,6412355.054312457
335,2299,50713,50713,ПивКо,Прочие специализированные продовольственные предприятия торговли,ПивКо,да,реализация продовольственных товаров,"город Москва, Главная улица, дом 21А",район Восточный,Восточный административный округ,37.870148,55.82121777640212,1918033.2778050688,6425494.757811926
336,2304,50730,50730,Конфаэль,Прочие специализированные продовольственные предприятия торговли,Конфаэль,да,реализация продовольственных товаров,"город Москва, проспект Андропова, дом 8",Даниловский район,Южный административный округ,37.66545300000001,55.695896740008926,1910283.1739138297,6407678.804581414
337,2340,51089,51089,МИЛТИ,Прочие специализированные продовольственные предприятия торговли,Милти,да,реализация продовольственных товаров,"город Москва, 1-й Волоколамский проезд, дом 10, строение 1",район Щукино,Северо-Западный административный округ,37.49047000000001,55.80478077160578,1895609.6774017338,6415759.452572484
338,2341,51113,51113,Сластена,Прочие специализированные продовольственные предприятия торговли,Сластена,да,реализация продовольственных товаров,"город Москва, улица Маршала Василевского, дом 13, корпус 1",район Щукино,Северо-Западный административный округ,37.46654599999998,55.806606772138274,1894089.541050269,6415459.079331539
339,2342,51114,51114,Оникс,Прочие специализированные продовольственные предприятия торговли,Оникс,да,реализация продовольственных товаров,"город Москва, улица Маршала Василевского, дом 13, корпус 1",район Щукино,Северо-Западный административный округ,37.46654599999998,55.806606772138274,1894089.541050269,6415459.079331539
340,2343,51129,51129,Tutti Frutti,Прочие специализированные продовольственные предприятия торговли,Tutti frutti,да,реализация продовольственных товаров,"город Москва, Ленинградское шоссе, дом 16А, строение 4",Войковский район,Северный административный округ,37.497057,55.82307777694528,1895333.7766904973,6417869.0743875615
341,2346,51210,51210,Торты «Royal Baker»,Прочие специализированные продовольственные предприятия торговли,Royal Baker,да,реализация продовольственных товаров,"город Москва, проспект Андропова, дом 22",район Нагатино-Садовники,Южный административный округ,37.66240100000001,55.683122736322076,1910572.2905400025,6406237.848967971
342,2348,51271,51271,КАНТАТА,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, проспект Андропова, дом 8",Даниловский район,Южный административный округ,37.66545300000001,55.695896740008926,1910283.1739138297,6407678.804581414
343,2349,51274,51274,Кантата,Прочие специализированные продовольственные предприятия торговли,Кантата,да,реализация продовольственных товаров,"город Москва, Автозаводская улица, дом 18",Даниловский район,Южный административный округ,37.641014,55.70499374263708,1908457.4766183847,6408146.399595885
